random_ID,Ch_gender,Deprivation,M_age,M_work,F_age,F_work,No_bedrooms,M_years_current_addr,M_owns_residence,M_education,M_work_hours,M_smoke,F_years_current_addr,F_owns_residence,F_education,F_work_hours,F_smoke,Cellphone,Landline,Internet,Hhld_income_cat,Hhld_income_value,No_usual_resdnt,Parents,Ch_Ethnicity,M_Ethnicity,F_Ethnicity,M_benefit,F_benefit
2048,male,4,39,full_time,40,part_time,4,5,owns,post_grad,48,never,NA,owns,NA,25,NA,cellphone,landline,internet,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2049,female,4,37,part_time,43,full_time,3,4,owns,diploma,16,never,7,owns,level_4,40,ex_smoker,cellphone,landline,internet,12,60000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2050,female,3,33,not in LF,38,full_time,4,1,not_owned,level_1,0,ex_smoker,3,not_owned,post_grad,50,ex_smoker,cellphone,landline,internet,13,85000,3,two,MELAA,NZEuropean,MELAA,benefit,benefit
2051,male,8,36,not in LF,43,full_time,3,4,owns,none,0,NA,18,owns,degree,40,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2052,female,10,NA,NA,66,NA,3,NA,NA,NA,0,NA,NA,NA,NA,0,NA,none,landline,none,NA,NA,6,father,NA,NA,NA,benefit,benefit
2053,male,4,31,not in LF,34,full_time,2,2,not_owned,post_grad,0,never,2,not_owned,degree,42,ex_smoker,cellphone,landline,internet,11,45000,3,two,Asian,Asian,Asian,benefit,benefit
2054,male,3,36,not in LF,39,full_time,4,5,owns,degree,0,never,3,not_owned,post_grad,45,ex_smoker,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2055,female,7,36,not in LF,NA,NA,3,0,owns,NA,0,NA,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,4,mother,Maori,NA,NA,benefit,benefit
2056,female,10,21,not in LF,NA,NA,4,0,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,6,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2057,male,2,33,not in LF,36,full_time,4,2,owns,level_2_3,0,never,2,owns,degree,40,never,cellphone,landline,internet,13,85000,5,two,NZEuropean,NZEuropean,Other,benefit,benefit
2058,female,5,37,not in LF,34,NA,3,5,owns,NA,0,never,31,NA,NA,0,never,cellphone,landline,internet,NA,NA,5,two,NZEuropean,NA,NZEuropean,benefit,benefit
2059,male,10,20,not in LF,40,NA,2,2,not_owned,NA,0,never,2,not_owned,NA,0,never,cellphone,none,none,6,17500,6,two,Pacific,Pacific,Pacific,benefit,benefit
2060,female,4,31,not in LF,NA,NA,3,4,not_owned,level_2_3,0,smoker,NA,NA,NA,0,NA,cellphone,landline,none,7,22500,4,mother,Maori,Maori,NA,benefit,benefit
2061,female,6,27,not in LF,25,full_time,3,3,owns,degree,0,never,NA,owns,degree,40,never,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2062,male,10,41,not in LF,32,part_time,2,1,not_owned,level_1,0,smoker,1,not_owned,level_1,20,smoker,cellphone,none,none,7,22500,6,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2063,male,8,32,part_time,33,full_time,4,5,not_owned,level_2_3,1,smoker,5,not_owned,none,40,smoker,cellphone,landline,internet,14,100000,4,two,NZEuropean,NA,NZEuropean,benefit,benefit
2064,male,2,NA,NA,63,not in LF,3,NA,NA,NA,0,NA,39,NA,NA,25,NA,none,landline,none,NA,NA,2,father,NZEuropean,NA,NZEuropean,benefit,benefit
2065,male,4,24,full_time,32,full_time,4,0,not_owned,diploma,40,ex_smoker,0,not_owned,diploma,0,smoker,cellphone,landline,internet,14,100000,4,two,Pacific,Pacific,NZEuropean,benefit,benefit
2066,female,10,26,full_time,29,full_time,4,1,not_owned,level_2_3,NA,never,1,not_owned,level_1,38,smoker,none,landline,none,NA,NA,9,two,Pacific,Pacific,Pacific,benefit,benefit
2067,male,4,31,part_time,33,full_time,3,5,owns,level_4,24,never,3,owns,level_2_3,40,never,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2068,male,3,37,not in LF,35,full_time,3,0,owns,NA,0,NA,8,owns,degree,45,NA,cellphone,landline,internet,NA,NA,3,two,NA,NA,Other,benefit,benefit
2069,male,5,19,part_time,27,full_time,4,0,not_owned,none,0,smoker,0,not_owned,none,40,smoker,cellphone,landline,none,13,85000,8,two,Maori,Maori,Maori,benefit,benefit
2070,male,10,35,not in LF,41,full_time,NA,0,not_owned,level_1,0,never,11,owns,level_1,44,never,none,none,none,NA,NA,9,two,Pacific,Pacific,Pacific,benefit,benefit
2071,male,10,29,not in LF,29,full_time,2,2,not_owned,level_1,0,never,2,not_owned,diploma,40,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2072,male,1,32,full_time,32,full_time,4,4,owns,level_2_3,NA,never,4,owns,degree,45,never,cellphone,landline,internet,14,100000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2073,male,9,16,not in LF,NA,NA,3,15,not_owned,none,0,never,NA,NA,NA,0,NA,none,landline,none,13,85000,5,mother,Maori,Maori,NA,benefit,benefit
2074,female,1,41,NA,35,not in LF,4,NA,NA,NA,0,NA,NA,owns,level_4,0,NA,cellphone,landline,internet,NA,NA,4,two,NA,NA,NA,benefit,benefit
2075,male,6,49,full_time,NA,NA,4,2,NA,NA,0,never,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,9,mother,NA,NA,NA,benefit,benefit
2076,male,10,22,full_time,NA,NA,4,8,not_owned,level_2_3,40,NA,NA,NA,NA,0,NA,cellphone,landline,none,13,85000,8,mother,Pacific,Pacific,NA,benefit,benefit
2077,female,7,29,not in LF,24,not in LF,2,0,not_owned,level_2_3,0,never,0,not_owned,level_2_3,0,smoker,cellphone,none,none,NA,NA,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2078,female,6,43,not in LF,NA,NA,2,2,NA,level_2_3,0,never,NA,NA,NA,0,NA,none,landline,internet,6,17500,3,mother,Asian,Asian,NA,benefit,benefit
2079,male,1,32,not in LF,32,full_time,3,2,owns,NA,0,smoker,2,owns,level_2_3,62,smoker,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2080,female,3,40,NA,36,full_time,5,NA,NA,NA,0,NA,4,NA,NA,0,NA,cellphone,landline,internet,14,100000,7,two,NA,NZEuropean,NA,benefit,benefit
2081,male,7,34,not in LF,30,full_time,4,2,owns,degree,0,ex_smoker,2,owns,level_2_3,45,ex_smoker,cellphone,landline,internet,11,45000,5,two,Other,Other,NZEuropean,benefit,benefit
2082,male,9,31,part_time,NA,NA,3,0,not_owned,level_1,10,NA,NA,NA,NA,0,NA,none,none,none,NA,NA,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2083,male,3,19,unemployed,NA,NA,3,0,not_owned,level_2_3,25,ex_smoker,NA,NA,NA,0,NA,cellphone,landline,internet,12,60000,5,mother,Maori,Maori,NA,benefit,benefit
2084,female,10,15,not in LF,20,not in LF,4,0,not_owned,level_1,0,smoker,0,not_owned,none,0,smoker,cellphone,landline,internet,NA,NA,6,two,Maori,Maori,Maori,benefit,benefit
2085,male,5,32,not in LF,32,full_time,3,1,owns,post_grad,0,never,3,owns,degree,60,never,cellphone,landline,internet,13,85000,3,two,Other,NZEuropean,Other,benefit,benefit
2086,male,7,26,not in LF,25,full_time,4,0,not_owned,none,0,smoker,0,not_owned,none,45,never,none,landline,internet,12,60000,3,two,Maori,NZEuropean,Maori,benefit,benefit
2087,male,1,33,not in LF,31,NA,4,1,owns,level_2_3,0,never,NA,owns,level_4,0,never,cellphone,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,NA,benefit,benefit
2088,female,7,35,not in LF,33,full_time,3,NA,NA,none,0,smoker,2,NA,none,NA,smoker,none,none,none,NA,NA,6,two,Maori,Maori,Maori,benefit,benefit
2089,female,10,30,NA,NA,NA,3,NA,NA,diploma,0,NA,NA,NA,NA,0,NA,none,landline,internet,7,22500,6,mother,NA,NA,NA,benefit,benefit
2090,female,7,22,not in LF,21,full_time,3,5,not_owned,diploma,0,smoker,6,not_owned,none,64,NA,cellphone,landline,internet,10,37500,3,two,Maori,Maori,Maori,benefit,benefit
2091,male,2,38,not in LF,42,full_time,4,4,owns,diploma,0,ex_smoker,6,owns,degree,55,ex_smoker,cellphone,landline,internet,14,100000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2092,female,7,24,part_time,27,full_time,4,4,owns,level_2_3,10,never,4,owns,level_2_3,45,never,none,landline,none,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2093,female,9,NA,NA,29,unemployed,3,NA,NA,NA,0,NA,5,not_owned,NA,0,smoker,cellphone,landline,none,NA,NA,4,father,Maori,NA,NZEuropean,benefit,benefit
2094,male,8,23,not in LF,24,full_time,2,3,not_owned,none,0,never,1,not_owned,level_1,50,smoker,cellphone,none,none,11,45000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2095,female,10,23,not in LF,24,full_time,3,1,not_owned,level_2_3,0,ex_smoker,0,not_owned,none,NA,ex_smoker,cellphone,none,none,12,60000,4,two,Maori,Maori,Maori,benefit,benefit
2096,male,4,17,not in LF,26,full_time,4,0,not_owned,none,0,smoker,0,not_owned,level_4,50,never,cellphone,landline,internet,14,100000,6,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2097,female,7,28,not in LF,37,full_time,3,8,not_owned,level_4,0,smoker,0,not_owned,none,50,smoker,cellphone,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,Other,benefit,benefit
2098,female,10,33,not in LF,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,none,none,none,NA,NA,3,mother,Maori,Maori,NA,benefit,benefit
2099,female,9,NA,NA,32,full_time,3,NA,NA,NA,0,NA,0,not_owned,level_1,50,smoker,none,landline,none,13,85000,2,father,Other,NA,NZEuropean,benefit,benefit
2100,female,10,31,full_time,31,full_time,4,15,owns,none,NA,smoker,3,not_owned,level_2_3,40,NA,cellphone,landline,none,10,37500,9,two,Maori,Maori,Maori,benefit,benefit
2101,female,2,34,part_time,40,full_time,5,2,owns,none,4,smoker,0,owns,none,65,smoker,cellphone,landline,internet,13,85000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2102,male,7,31,not in LF,34,full_time,3,3,owns,level_2_3,0,never,2,owns,level_2_3,50,never,cellphone,landline,internet,8,27500,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2103,female,10,34,not in LF,NA,NA,3,2,not_owned,none,0,NA,NA,NA,NA,0,NA,none,landline,internet,5,12500,6,mother,Maori,Maori,NA,benefit,benefit
2104,female,9,21,not in LF,28,full_time,4,12,not_owned,level_2_3,0,smoker,4,not_owned,none,40,smoker,cellphone,landline,none,14,100000,5,two,Maori,Maori,Maori,benefit,benefit
2105,female,3,39,part_time,34,full_time,3,1,not_owned,degree,0,never,1,not_owned,diploma,40,never,cellphone,landline,internet,13,85000,3,two,Other,Other,NZEuropean,benefit,benefit
2106,male,6,25,not in LF,33,full_time,3,5,owns,diploma,0,smoker,NA,NA,NA,0,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NA,benefit,benefit
2107,male,6,36,full_time,41,full_time,3,7,owns,level_1,42,never,7,owns,level_2_3,45,ex_smoker,cellphone,landline,internet,14,100000,8,two,Maori,Maori,NZEuropean,benefit,benefit
2108,female,9,24,not in LF,NA,NA,3,20,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,landline,none,13,85000,9,mother,Maori,Maori,NA,benefit,benefit
2109,male,2,30,full_time,39,full_time,3,5,owns,degree,15,never,5,owns,degree,42,ex_smoker,cellphone,landline,internet,NA,NA,4,two,Other,Other,Other,benefit,benefit
2110,male,1,34,full_time,33,full_time,4,5,owns,diploma,NA,never,3,owns,level_4,0,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2111,female,6,21,full_time,NA,NA,3,0,not_owned,diploma,38,never,NA,NA,NA,0,NA,cellphone,landline,internet,14,100000,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2112,female,10,23,unemployed,NA,NA,4,5,not_owned,level_1,NA,never,NA,NA,NA,0,NA,cellphone,landline,none,14,100000,9,mother,Asian,Asian,NA,benefit,benefit
2113,female,5,36,part_time,34,full_time,4,4,not_owned,level_1,40,never,7,not_owned,level_2_3,40,never,cellphone,landline,none,12,60000,6,two,Pacific,Pacific,Pacific,benefit,benefit
2114,male,8,25,full_time,22,full_time,3,20,not_owned,post_grad,30,smoker,0,not_owned,none,40,smoker,cellphone,landline,internet,14,100000,4,two,Maori,Maori,NA,benefit,benefit
2115,female,3,28,not in LF,30,full_time,3,0,not_owned,level_2_3,0,never,0,not_owned,level_4,40,never,cellphone,landline,internet,NA,NA,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2116,male,9,25,not in LF,NA,NA,4,NA,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,5,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2117,male,6,36,not in LF,34,full_time,4,NA,owns,degree,0,never,17,owns,level_1,49,never,cellphone,landline,internet,12,60000,5,two,Maori,Maori,Pacific,benefit,benefit
2118,male,10,31,full_time,24,full_time,3,0,not_owned,none,NA,smoker,0,not_owned,none,40,smoker,cellphone,none,none,12,60000,4,two,Maori,Maori,Maori,benefit,benefit
2119,male,10,27,not in LF,NA,NA,3,3,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,5,12500,6,mother,Maori,Maori,NA,benefit,benefit
2120,female,9,41,not in LF,NA,NA,3,3,not_owned,level_2_3,6,never,NA,NA,NA,0,NA,cellphone,landline,none,12,60000,4,mother,Maori,Maori,NA,benefit,benefit
2121,male,6,32,not in LF,32,full_time,3,7,owns,level_2_3,0,never,8,owns,level_1,44,never,cellphone,landline,internet,9,32500,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2122,male,3,22,part_time,23,full_time,2,2,not_owned,diploma,NA,ex_smoker,2,not_owned,none,NA,ex_smoker,cellphone,landline,none,11,45000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2123,male,7,26,not in LF,26,full_time,4,3,not_owned,diploma,0,smoker,3,not_owned,none,43,smoker,cellphone,landline,internet,14,100000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2124,male,7,26,not in LF,26,full_time,1,0,not_owned,level_2_3,0,never,0,not_owned,level_2_3,40,ex_smoker,cellphone,none,none,12,60000,7,two,Asian,Asian,Asian,benefit,benefit
2125,female,10,20,unemployed,24,full_time,3,0,not_owned,diploma,NA,ex_smoker,0,not_owned,none,45,ex_smoker,cellphone,none,none,10,37500,4,two,Maori,Maori,Maori,benefit,benefit
2126,female,1,26,not in LF,30,full_time,3,2,not_owned,level_2_3,0,ex_smoker,2,not_owned,post_grad,40,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2127,male,7,27,not in LF,31,full_time,3,6,owns,degree,0,ex_smoker,3,owns,degree,40,never,cellphone,landline,internet,13,85000,4,two,Other,Other,Other,benefit,benefit
2128,female,1,29,not in LF,37,full_time,4,2,owns,degree,0,never,2,owns,degree,50,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2129,female,8,35,not in LF,37,full_time,2,2,not_owned,post_grad,0,never,2,not_owned,degree,40,never,none,landline,none,10,37500,3,two,Asian,Asian,Asian,benefit,benefit
2130,male,9,28,NA,38,full_time,3,NA,NA,degree,0,never,6,owns,level_2_3,40,ex_smoker,cellphone,landline,internet,12,60000,3,two,Pacific,NZEuropean,Asian,benefit,benefit
2131,male,8,37,not in LF,35,full_time,3,7,owns,level_2_3,0,never,9,owns,level_2_3,NA,never,cellphone,landline,internet,12,60000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2132,female,2,28,not in LF,NA,NA,3,0,not_owned,diploma,0,never,NA,NA,NA,0,NA,cellphone,landline,internet,14,100000,5,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2133,male,1,31,full_time,34,full_time,4,7,not_owned,level_1,37,never,2,owns,level_2_3,40,never,cellphone,landline,internet,6,17500,4,two,Other,Other,Other,benefit,benefit
2134,female,1,34,not in LF,31,full_time,3,3,not_owned,post_grad,0,never,2,not_owned,degree,40,never,cellphone,landline,internet,11,45000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2135,male,7,32,not in LF,NA,NA,2,0,not_owned,level_2_3,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,6,17500,3,mother,Pacific,Pacific,NA,benefit,benefit
2136,male,6,29,part_time,28,full_time,3,0,owns,post_grad,10,never,0,owns,degree,42,ex_smoker,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2137,female,4,30,not in LF,38,full_time,2,3,owns,degree,0,never,0,not_owned,level_2_3,40,ex_smoker,cellphone,landline,internet,13,85000,3,two,Asian,Asian,Asian,benefit,benefit
2138,female,2,38,full_time,38,full_time,4,0,owns,degree,0,never,3,owns,level_4,40,NA,cellphone,landline,internet,14,100000,4,two,Pacific,Pacific,NA,benefit,benefit
2139,male,5,36,not in LF,37,full_time,3,2,owns,level_2_3,0,never,2,owns,diploma,30,never,cellphone,landline,internet,13,85000,3,two,Pacific,Pacific,Maori,benefit,benefit
2140,male,6,31,full_time,35,full_time,3,1,not_owned,level_2_3,20,never,1,not_owned,level_4,NA,smoker,cellphone,landline,none,13,85000,3,two,Other,NZEuropean,NZEuropean,benefit,benefit
2141,female,10,30,part_time,25,full_time,3,3,not_owned,NA,60,never,3,not_owned,level_1,40,never,none,landline,none,NA,NA,5,two,Pacific,Pacific,Pacific,benefit,benefit
2142,male,10,30,not in LF,41,full_time,2,0,not_owned,diploma,0,never,5,owns,level_4,78,smoker,cellphone,landline,internet,9,32500,3,two,Asian,Asian,Maori,benefit,benefit
2143,female,4,34,part_time,31,full_time,3,NA,NA,NA,25,NA,1,owns,degree,43,never,cellphone,landline,internet,NA,NA,3,two,Other,Other,Other,benefit,benefit
2144,male,8,31,not in LF,38,full_time,3,3,owns,diploma,0,ex_smoker,2,owns,level_1,40,ex_smoker,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2145,male,3,26,not in LF,23,full_time,3,3,not_owned,level_2_3,0,smoker,0,not_owned,level_4,42,NA,cellphone,landline,none,NA,NA,5,two,Maori,Maori,Maori,benefit,benefit
2146,male,1,26,not in LF,28,full_time,3,2,not_owned,none,0,ex_smoker,2,not_owned,level_1,60,smoker,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2147,male,6,NA,NA,44,full_time,NA,NA,NA,NA,0,NA,0,not_owned,NA,NA,never,none,none,none,NA,NA,3,father,Maori,NA,Maori,benefit,benefit
2148,female,2,32,part_time,38,NA,5,0,owns,diploma,0,never,NA,NA,NA,NA,NA,cellphone,landline,internet,14,100000,5,two,NZEuropean,NZEuropean,NA,benefit,benefit
2149,female,6,28,not in LF,NA,NA,3,3,not_owned,level_1,0,never,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,3,mother,Pacific,Pacific,NA,benefit,benefit
2150,female,8,27,full_time,34,full_time,2,1,owns,degree,40,ex_smoker,6,owns,none,47,smoker,cellphone,landline,internet,12,60000,4,two,Maori,NZEuropean,Maori,benefit,benefit
2151,male,8,37,full_time,37,full_time,4,2,owns,level_2_3,30,never,2,owns,level_1,50,never,cellphone,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2152,female,9,29,not in LF,32,full_time,3,0,not_owned,level_2_3,0,ex_smoker,7,not_owned,none,50,never,cellphone,landline,internet,13,85000,4,two,Other,Other,NZEuropean,benefit,benefit
2153,male,8,35,part_time,37,full_time,3,3,not_owned,degree,NA,ex_smoker,3,not_owned,degree,48,smoker,cellphone,landline,internet,10,37500,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2154,female,2,38,not in LF,43,full_time,4,0,owns,degree,15,ex_smoker,4,owns,level_4,36,ex_smoker,cellphone,landline,internet,14,100000,5,two,Pacific,Pacific,NZEuropean,benefit,benefit
2155,female,1,31,not in LF,36,full_time,4,3,owns,degree,0,never,5,owns,level_1,42,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2156,male,6,36,not in LF,43,full_time,3,6,owns,degree,0,never,4,owns,degree,40,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2157,male,6,33,not in LF,37,full_time,3,2,owns,post_grad,0,never,4,owns,degree,42,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2158,male,2,26,not in LF,41,full_time,4,5,not_owned,diploma,0,NA,6,owns,level_2_3,40,never,cellphone,landline,internet,14,100000,4,two,Asian,Asian,Asian,benefit,benefit
2159,male,2,35,part_time,38,full_time,5,1,owns,degree,30,never,0,owns,degree,40,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2160,female,3,30,not in LF,36,full_time,3,1,not_owned,level_4,0,ex_smoker,0,not_owned,level_2_3,45,ex_smoker,cellphone,landline,internet,11,45000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2161,female,4,34,not in LF,36,full_time,2,0,not_owned,degree,0,never,0,not_owned,diploma,40,never,none,landline,internet,11,45000,3,two,Asian,Asian,Asian,benefit,benefit
2162,male,3,40,not in LF,61,full_time,3,23,NA,level_1,0,NA,23,owns,diploma,60,never,none,landline,internet,NA,NA,3,two,NA,NA,Other,benefit,benefit
2163,female,1,38,not in LF,35,NA,4,0,owns,level_2_3,0,never,NA,NA,NA,NA,NA,cellphone,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,NA,benefit,benefit
2164,male,2,27,not in LF,31,NA,4,2,not_owned,level_4,35,NA,NA,not_owned,level_2_3,0,smoker,cellphone,none,internet,14,100000,8,two,Pacific,Pacific,Pacific,benefit,benefit
2165,female,10,NA,NA,24,unemployed,3,NA,NA,NA,0,NA,2,not_owned,level_1,0,never,cellphone,none,none,NA,NA,3,father,Maori,NA,Maori,benefit,benefit
2166,female,2,29,part_time,32,full_time,4,4,owns,diploma,12,never,4,owns,degree,40,never,none,landline,none,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2167,male,8,34,part_time,40,full_time,3,6,owns,level_1,16,never,2,owns,level_4,55,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2168,male,7,17,not in LF,24,full_time,4,2,not_owned,level_2_3,0,never,0,not_owned,level_4,55,smoker,cellphone,none,none,10,37500,3,two,Maori,NZEuropean,Maori,benefit,benefit
2169,female,8,34,not in LF,25,full_time,3,3,not_owned,diploma,0,ex_smoker,2,owns,level_4,45,never,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2170,female,8,25,not in LF,NA,NA,1,0,NA,level_4,0,NA,NA,NA,NA,0,NA,cellphone,none,none,7,22500,4,mother,NA,NA,NA,benefit,benefit
2171,male,1,32,not in LF,33,full_time,5,2,owns,level_2_3,0,never,1,owns,degree,40,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2172,female,4,27,not in LF,NA,NA,4,0,not_owned,level_1,0,smoker,NA,NA,NA,0,NA,cellphone,landline,none,12,60000,6,mother,Maori,NZEuropean,NA,benefit,benefit
2173,female,10,37,full_time,29,not in LF,3,2,not_owned,none,0,never,2,not_owned,NA,8,never,none,landline,none,NA,NA,9,two,Pacific,Pacific,Pacific,benefit,benefit
2174,male,6,28,not in LF,30,NA,4,5,not_owned,level_1,0,ex_smoker,4,NA,NA,NA,NA,cellphone,landline,internet,NA,NA,6,two,NZEuropean,NZEuropean,NA,benefit,benefit
2175,female,10,29,not in LF,NA,NA,3,0,not_owned,level_2_3,0,smoker,NA,NA,NA,0,NA,none,landline,none,11,45000,6,mother,Maori,Maori,NA,benefit,benefit
2176,female,8,30,not in LF,39,full_time,2,0,owns,degree,0,never,1,owns,degree,40,ex_smoker,cellphone,landline,internet,13,85000,3,two,Asian,Asian,Asian,benefit,benefit
2177,female,10,38,full_time,43,full_time,2,NA,not_owned,degree,30,NA,NA,NA,NA,NA,NA,none,landline,none,6,17500,3,two,Asian,Asian,Asian,benefit,benefit
2178,female,8,21,part_time,NA,NA,4,0,not_owned,level_2_3,0,never,NA,NA,NA,0,NA,cellphone,none,none,12,60000,4,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2179,male,4,30,not in LF,37,full_time,2,0,not_owned,level_2_3,0,never,0,not_owned,level_4,30,never,cellphone,landline,internet,11,45000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2180,male,3,29,not in LF,35,full_time,4,0,not_owned,level_2_3,0,never,NA,not_owned,level_2_3,40,never,cellphone,landline,none,10,37500,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2181,female,2,31,not in LF,27,part_time,3,1,not_owned,degree,0,ex_smoker,NA,not_owned,level_4,12,NA,cellphone,landline,internet,NA,NA,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2182,female,6,29,part_time,NA,NA,4,NA,owns,NA,45,smoker,NA,NA,NA,0,NA,cellphone,landline,none,7,22500,2,mother,NZEuropean,Pacific,NA,benefit,benefit
2183,female,7,33,not in LF,32,full_time,3,2,not_owned,level_1,20,smoker,2,not_owned,none,50,ex_smoker,cellphone,none,none,11,45000,4,two,NZEuropean,NZEuropean,Other,benefit,benefit
2184,female,6,NA,NA,30,NA,3,NA,NA,NA,0,NA,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,6,father,NA,NA,NA,benefit,benefit
2185,female,1,31,full_time,36,full_time,4,3,owns,post_grad,37,never,3,owns,degree,40,ex_smoker,cellphone,landline,internet,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2186,male,10,24,part_time,NA,NA,3,21,not_owned,level_1,0,never,NA,NA,NA,0,NA,cellphone,landline,none,NA,NA,5,mother,Maori,Maori,NA,benefit,benefit
2187,male,9,20,not in LF,NA,NA,3,0,not_owned,level_1,0,never,NA,NA,NA,0,NA,cellphone,landline,none,10,37500,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
2188,male,8,34,not in LF,35,NA,3,1,owns,diploma,0,never,NA,NA,NA,NA,NA,cellphone,landline,internet,NA,NA,4,two,Other,Other,NA,benefit,benefit
2189,female,1,32,not in LF,32,full_time,4,2,owns,diploma,0,never,1,owns,post_grad,45,never,cellphone,landline,internet,12,60000,4,two,Other,Other,Other,benefit,benefit
2190,male,5,32,not in LF,39,full_time,4,3,not_owned,level_4,0,ex_smoker,3,owns,level_1,60,ex_smoker,cellphone,landline,none,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2191,male,10,34,not in LF,43,full_time,3,2,not_owned,post_grad,0,never,2,not_owned,degree,40,never,none,landline,none,10,37500,3,two,Asian,Asian,Asian,benefit,benefit
2192,female,4,29,not in LF,30,full_time,3,2,owns,degree,0,never,2,owns,level_4,NA,smoker,cellphone,landline,none,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
