ethnicity,region,sex,agegrp,qualification,occupation,hours,income
European,Nelson,male,65,none,community,5,225
European,Auckland,male,20,vocational,community,32,617
European,Otago,female,45,other,community,15,281
European,Nelson,female,45,vocational,community,0,305
European,Wellington,female,20,school,community,40,996
European,Nelson,female,45,vocational,community,0,275
European,Gisborne,male,40,degree,community,50,1623
European,Wellington,female,35,other,community,32,1656
European,Christchurch,female,60,school,community,0,497
European,BoP,female,55,vocational,community,30,472
European,Christchurch,female,35,vocational,community,45,1035
European,Christchurch,female,50,vocational,community,0,2
European,Taranaki,female,45,vocational,community,30,835
European,Wellington,female,30,vocational,community,40,828
European,Christchurch,male,50,none,community,50,1166
European,Nelson,female,50,vocational,community,40,715
European,BoP,female,50,vocational,community,8,177
European,Auckland,male,45,school,community,40,880
European,Christchurch,male,45,degree,community,40,863
European,Otago,male,65,vocational,community,40,1080
European,Southland,female,30,school,community,46,2090
European,Southland,female,65,none,community,0,292
European,Christchurch,male,65,vocational,community,3,88
European,Wellington,male,65,vocational,community,15,975
European,Christchurch,male,20,school,community,40,949
European,Christchurch,male,25,school,community,37,1036
European,Wellington,female,40,degree,community,40,1143
European,Christchurch,male,40,other,community,43,880
European,Auckland,female,60,none,community,50,1170
European,Auckland,female,50,vocational,community,40,990
European,Gisborne,female,55,vocational,community,25,467
European,Waikato,female,60,other,community,37.5,846
European,Auckland,female,55,none,community,37.5,1226
European,BoP,female,35,vocational,community,10,160
European,Gisborne,male,65,vocational,community,25,1726
European,Nelson,male,50,vocational,community,40,792
European,Christchurch,female,15,school,community,12,140
European,Auckland,male,60,vocational,community,45,876
European,Christchurch,female,50,school,community,42,749
European,Nelson,female,55,none,community,62,3586
European,Nelson,female,45,vocational,community,38.5,787
European,Otago,female,50,vocational,community,9,172
European,Auckland,male,15,school,community,55,1438
European,Waikato,female,40,none,community,40,748
European,Nelson,female,30,school,community,7.5,105
European,Gisborne,female,50,vocational,community,40,1476
European,Wellington,female,55,none,community,20,440
European,Otago,male,65,none,community,0,502
European,Nelson,male,65,vocational,community,42.5,741
European,Gisborne,female,65,vocational,community,9,144
European,Waikato,female,40,other,community,40,943
European,Auckland,male,15,school,community,12,188
European,Auckland,female,50,none,community,66.5,978
European,Nelson,female,50,vocational,community,45,879
European,Otago,female,60,degree,community,0,0
European,Manawatu,female,45,degree,community,40,1560
European,Southland,female,45,vocational,community,17,654
European,Wellington,female,20,vocational,community,38,962
European,Waikato,female,35,school,community,26,1144
European,Christchurch,male,20,vocational,community,34.5,466
European,Wellington,male,35,vocational,community,0,317
European,Otago,female,35,vocational,community,40,1374
European,Auckland,female,20,school,community,30,437
European,BoP,female,30,degree,community,35,449
European,Auckland,female,55,vocational,community,56,1574
European,Otago,female,40,school,community,40,690
European,Christchurch,male,35,other,community,0,1931
European,Christchurch,female,40,other,community,5,180
European,Christchurch,female,45,vocational,community,0,495
European,Otago,female,40,vocational,community,40,483
European,Auckland,female,40,vocational,community,17,309
European,BoP,male,25,other,community,40,692
European,Auckland,female,20,school,community,0,477
European,Auckland,male,30,degree,community,33,356
European,Gisborne,female,50,vocational,community,35,616
European,Auckland,female,20,vocational,community,4,51
European,Wellington,male,35,vocational,community,40,1034
European,Otago,female,30,degree,community,10,417
European,Auckland,male,45,none,community,44,983
European,Wellington,female,25,vocational,community,25,303
European,Auckland,male,45,vocational,community,50,1106
European,Otago,female,45,vocational,community,0,382
European,Auckland,female,45,vocational,community,32,392
European,Auckland,female,15,none,community,50,660
European,Christchurch,male,45,none,community,40,715
European,Christchurch,female,40,none,community,0,9
European,Manawatu,male,60,none,community,47.5,1150
European,Manawatu,male,45,vocational,community,40,967
European,Nelson,female,50,none,community,55,1210
European,Otago,male,20,school,community,3,43
European,Manawatu,female,40,vocational,community,8,123
European,Wellington,female,30,vocational,community,0,427
European,Christchurch,male,65,school,community,40,1089
European,Wellington,female,20,school,community,40,738
European,Wellington,male,40,degree,community,40,1605
European,Auckland,female,40,vocational,community,37.5,742
European,Gisborne,female,40,none,community,38,659
European,Auckland,female,60,vocational,community,19,3054
European,Auckland,female,65,school,community,37,794
European,Northland,female,40,vocational,community,30,407
European,Auckland,female,55,vocational,community,0,322
European,Wellington,female,45,school,community,24,937
European,Manawatu,female,55,school,community,10,197
European,Waikato,female,35,vocational,community,37,1657
European,Nelson,female,20,school,community,40,522
European,BoP,female,60,vocational,community,30,842
European,Auckland,male,20,school,community,15,84
European,Southland,male,35,school,community,24,927
European,Christchurch,female,40,school,community,50,863
European,Christchurch,female,55,vocational,community,40,565
European,Gisborne,female,15,school,community,35,638
European,Waikato,female,55,other,community,40,1172
European,Christchurch,female,55,school,community,16,417
European,Manawatu,female,25,other,community,16.5,418
European,Christchurch,female,20,school,community,40,550
European,Wellington,female,20,school,community,46.5,772
European,Manawatu,male,45,school,community,40,1846
European,Gisborne,male,65,school,community,55,990
European,Auckland,female,25,degree,community,0,288
European,Auckland,female,55,vocational,community,42.5,1043
European,Christchurch,female,50,vocational,community,40,1070
European,Otago,female,15,school,community,3,35
European,Christchurch,male,25,other,community,45,652
European,Waikato,female,55,school,community,27.5,2321
European,Christchurch,male,40,none,community,40,1020
European,Wellington,male,35,none,community,41.5,737
European,Otago,male,20,school,community,40,576
European,Wellington,female,25,degree,community,40,972
European,Waikato,female,45,vocational,community,39,955
European,Gisborne,female,30,vocational,community,37.5,967
European,Auckland,male,15,school,community,40,720
European,Auckland,female,35,vocational,community,32,752
European,Wellington,male,40,other,community,33,472
European,Christchurch,male,25,vocational,community,0,0
European,Manawatu,female,15,school,community,37.5,577
European,Manawatu,female,30,degree,community,30,513
European,Otago,female,50,vocational,community,40,886
European,Manawatu,male,50,school,community,48,1320
European,Christchurch,male,40,none,community,40,720
European,Wellington,female,50,vocational,community,16,224
European,Auckland,female,55,vocational,community,24,281
European,Wellington,female,55,vocational,community,45,1089
European,Christchurch,female,40,vocational,community,24,396
European,Waikato,female,25,vocational,community,37.5,915
European,Auckland,male,60,degree,community,62,1364
European,Wellington,female,30,vocational,community,38,560
European,Gisborne,female,65,none,community,30,690
European,Manawatu,female,40,none,community,38.5,686
European,Otago,female,50,vocational,community,20,730
European,Waikato,male,40,other,community,0,524
European,Wellington,male,50,vocational,community,65,1082
European,Auckland,female,65,vocational,community,40,792
European,BoP,male,20,school,community,40,481
European,Waikato,female,25,school,community,36,420
European,Auckland,male,40,vocational,community,28,637
European,Waikato,male,40,vocational,community,52,1404
European,Christchurch,male,35,other,community,37.5,1670
European,Wellington,female,65,school,community,37,875
European,Gisborne,female,55,vocational,community,37.5,587
European,Gisborne,male,20,school,community,40,725
European,Northland,female,25,vocational,community,33,895
European,Northland,female,60,vocational,community,35,693
European,Auckland,female,50,vocational,community,38,962
European,Auckland,male,65,vocational,community,0,167
European,Manawatu,female,25,school,community,40,345
European,Wellington,female,35,vocational,community,44,1050
European,Wellington,female,45,vocational,community,40,710
European,Wellington,male,30,degree,community,40,557
European,Nelson,female,45,other,community,25,459
European,Manawatu,male,20,school,community,30,462
European,Manawatu,female,50,vocational,community,40,1085
European,Christchurch,female,60,vocational,community,33,893
European,Wellington,female,20,school,community,0,365
European,Christchurch,female,50,school,community,38,747
European,Wellington,male,55,degree,community,30,779
European,Manawatu,female,40,degree,community,40,1330
European,Christchurch,female,40,vocational,community,63,1540
European,Auckland,male,45,vocational,community,37,970
European,Manawatu,male,50,vocational,community,50,1621
European,Nelson,female,60,vocational,community,0,527
European,Northland,female,25,vocational,community,11,188
European,Manawatu,female,65,none,community,25,409
European,Waikato,female,50,other,community,40,1243
European,Auckland,female,55,vocational,community,40,1060
European,Southland,female,35,none,community,14,379
European,Wellington,female,45,degree,community,20,383
European,BoP,female,45,school,community,0,252
European,Christchurch,female,55,none,community,40,804
European,Otago,male,40,vocational,community,0,230
European,Nelson,female,15,school,community,40,770
European,Waikato,male,40,none,community,55,2714
European,Wellington,male,55,degree,community,40,778
European,Christchurch,female,20,vocational,community,20,234
European,Auckland,male,65,degree,community,20,246
European,BoP,male,55,vocational,community,0,5274
European,Otago,female,45,vocational,community,40,1371
European,Christchurch,male,20,none,community,40,704
European,Gisborne,female,40,none,community,36,698
European,Manawatu,male,30,degree,community,50,1234
European,Christchurch,female,30,vocational,community,30,1139
European,BoP,female,30,vocational,community,35,413
European,Northland,female,55,degree,community,40,698
European,Auckland,female,50,degree,community,38,694
European,Waikato,female,40,school,community,32,429
European,Auckland,female,65,other,community,32,490
European,Waikato,female,45,other,community,40,777
European,Manawatu,female,15,school,community,8,338
European,Auckland,female,20,none,community,0,342
European,Wellington,female,60,none,community,0,352
European,Wellington,female,55,other,community,30,446
European,Auckland,male,20,school,community,28,447
European,Waikato,male,20,none,community,42,876
European,Wellington,male,55,degree,community,40,649
European,Nelson,male,50,vocational,community,44,287
European,Auckland,female,45,school,community,40,540
European,BoP,female,45,other,community,40,1108
European,Nelson,female,40,other,community,18,1015
European,Wellington,female,30,vocational,community,20,450
European,Northland,female,50,vocational,community,34,524
European,Southland,male,55,vocational,community,0,198
European,Auckland,male,30,vocational,community,27,352
European,Gisborne,male,65,none,community,40,880
European,Christchurch,female,50,vocational,community,0,458
European,Otago,female,40,vocational,community,30,513
European,Auckland,male,60,vocational,community,40,880
European,BoP,male,55,none,community,57,1199
European,Southland,male,45,school,community,45,792
European,Auckland,female,55,vocational,community,0,356
European,Waikato,female,50,vocational,community,37.5,1035
European,Wellington,female,25,none,community,5,70
European,BoP,male,60,none,community,40,1188
European,Christchurch,male,45,vocational,community,60,1566
European,Waikato,female,30,school,community,40,1329
European,Waikato,female,50,none,community,0,322
European,Christchurch,female,15,school,community,0,12
European,Christchurch,female,50,vocational,community,0,248
European,Waikato,female,30,vocational,community,40,532
European,Christchurch,female,40,vocational,community,16,800
European,Waikato,female,45,degree,community,40,1226
European,Auckland,female,40,vocational,community,20,596
European,Auckland,female,35,degree,community,0,261
European,Christchurch,female,45,vocational,community,12,190
European,Auckland,female,50,vocational,community,38,543
European,Waikato,male,45,none,community,40,660
European,BoP,female,55,school,community,16,281
European,Auckland,female,30,degree,community,40,474
European,Auckland,male,30,vocational,community,40,668
European,BoP,female,65,none,community,37.5,3235
European,Taranaki,male,25,vocational,community,45,458
European,Gisborne,male,55,none,community,40,730
European,Auckland,female,30,vocational,community,49,1125
European,Christchurch,female,45,school,community,37.5,932
European,Waikato,male,65,vocational,community,50,1133
European,Nelson,male,45,vocational,community,40,1267
European,Manawatu,female,45,school,community,16,1367
European,Wellington,female,50,other,community,40,934
European,Christchurch,female,50,vocational,community,22,365
European,Auckland,female,45,school,community,20,293
European,Manawatu,female,40,vocational,community,0,-112
European,Manawatu,male,50,vocational,community,0,281
European,BoP,female,50,vocational,community,24,298
European,Otago,female,50,other,community,60,962
European,Nelson,female,25,vocational,community,17,1277
European,Northland,female,55,school,community,0,189
European,Northland,male,40,none,community,40,761
European,Manawatu,female,30,school,community,0,271
European,BoP,male,65,school,community,40,1063
European,Christchurch,female,20,vocational,community,47,1058
European,Northland,male,45,vocational,community,55,851
European,Nelson,female,55,vocational,community,30,1135
European,Christchurch,female,65,vocational,community,12,414
European,Manawatu,female,30,other,community,0,360
European,Gisborne,female,25,vocational,community,21,321
European,Christchurch,female,40,school,community,37,777
European,BoP,female,35,vocational,community,40,844
European,Wellington,female,55,other,community,7.5,113
European,Wellington,male,25,school,community,40,1188
European,Auckland,female,60,degree,community,21,471
European,Auckland,female,45,none,community,35,378
European,Auckland,female,20,degree,community,40,886
European,Waikato,male,55,degree,community,12.5,506
European,Southland,female,40,none,community,30,378
European,Auckland,female,35,school,community,40,717
European,Waikato,male,25,school,community,47.5,652
European,Auckland,female,55,other,community,0,368
European,Waikato,female,30,vocational,community,50,760
European,Auckland,female,45,degree,community,50,1100
European,Christchurch,male,20,school,community,30,714
European,Christchurch,female,35,vocational,community,40,1181
European,Auckland,female,20,school,community,0,165
European,Northland,female,50,other,community,60,957
European,Christchurch,female,65,school,community,40,742
European,Otago,female,45,none,community,8,158
European,Christchurch,female,45,school,community,28,940
European,Auckland,male,45,none,community,40,792
European,Auckland,male,30,vocational,community,40,863
European,Christchurch,female,45,none,community,40,1191
European,Christchurch,female,50,degree,community,40,1519
European,Wellington,female,55,vocational,community,0,265
European,Auckland,female,45,school,community,16,1254
European,Auckland,female,40,vocational,community,0,783
European,Wellington,female,40,vocational,community,30,749
European,Auckland,female,55,none,community,16,2162
European,Northland,female,45,vocational,community,0,610
European,Wellington,male,50,vocational,community,40,1408
European,Christchurch,female,20,vocational,community,10,154
European,Northland,female,60,school,community,60,880
European,Nelson,female,50,school,community,45,1064
European,Otago,female,40,degree,community,20,561
European,Taranaki,female,55,none,community,40,1525
European,BoP,female,65,vocational,community,24,535
European,Auckland,female,40,degree,community,30,1676
European,Auckland,male,35,other,community,35,952
European,Auckland,female,55,vocational,community,48,1467
European,Wellington,female,55,school,community,0,0
European,Southland,male,65,school,community,40,864
European,Otago,male,15,school,community,0,0
European,Waikato,female,45,none,community,20,304
European,Wellington,female,40,vocational,community,26,828
European,Auckland,female,25,vocational,community,0,-173
European,Waikato,female,55,vocational,community,36,746
European,Christchurch,male,35,none,community,50,880
European,Auckland,female,60,school,community,0,-169
European,Christchurch,male,65,none,community,40,763
European,Northland,female,30,vocational,community,12,707
European,Auckland,female,55,school,community,44,832
European,Auckland,male,40,none,community,40,864
European,Waikato,female,15,school,community,42,378
European,Otago,male,15,none,community,45,883
European,BoP,male,35,vocational,community,50,2100
European,Otago,male,20,vocational,community,40,459
European,Wellington,female,65,vocational,community,40,540
European,Wellington,female,55,vocational,community,22,334
European,Christchurch,female,25,vocational,community,7,189
European,Auckland,female,35,vocational,community,37,1055
European,Wellington,female,35,vocational,community,42,1386
European,Waikato,female,50,none,community,0,0
European,Auckland,female,35,vocational,community,37.5,915
European,Northland,male,50,other,community,63,1778
European,Wellington,male,60,vocational,community,40,571
European,Otago,female,65,none,community,30,917
European,Wellington,male,60,vocational,community,19.5,429
European,Waikato,male,20,school,community,40,608
European,Waikato,male,55,degree,community,40,781
European,Auckland,female,30,degree,community,40,898
European,Gisborne,female,20,none,community,20,496
European,Auckland,male,65,none,community,37,759
European,Christchurch,female,50,vocational,community,48,1009
European,Manawatu,female,25,degree,community,7,377
European,Waikato,male,60,none,community,0,190
European,Christchurch,female,55,vocational,community,40,726
European,Taranaki,male,25,vocational,community,40,980
European,Auckland,female,45,degree,community,52,885
European,Waikato,male,65,none,community,12,354
European,Auckland,female,40,vocational,community,20,712
European,Waikato,male,40,vocational,community,57.5,1148
European,Auckland,female,25,school,community,40,530
European,Auckland,female,45,degree,community,62,955
European,Auckland,female,30,vocational,community,0,791
European,Waikato,female,25,vocational,community,37.5,1356
European,Taranaki,female,50,vocational,community,12,216
European,Auckland,female,30,vocational,community,0,357
European,Northland,male,45,school,community,40,880
European,Southland,female,40,vocational,community,2.5,59
European,Christchurch,male,15,vocational,community,5.5,81
European,Auckland,male,25,vocational,community,31,872
European,Christchurch,male,40,other,community,40,2426
European,Auckland,female,55,vocational,community,40,748
European,Wellington,female,40,vocational,community,40,1920
European,Auckland,female,40,school,community,60,804
European,Wellington,male,40,vocational,community,40,1000
European,Otago,female,60,other,community,48,1337
European,Northland,female,30,other,community,35,633
European,Wellington,female,50,vocational,community,24,360
European,Auckland,male,60,other,community,45,1155
European,Waikato,female,50,vocational,community,0,352
European,Manawatu,female,50,school,community,40,777
European,Wellington,male,35,degree,community,40,1440
European,Auckland,female,60,vocational,community,40,915
European,Manawatu,female,15,vocational,community,5.5,121
European,Waikato,female,50,degree,community,33,452
European,Auckland,male,45,vocational,community,37,690
European,Wellington,female,30,degree,community,40,880
European,Wellington,female,55,other,community,16,276
European,Otago,female,65,none,community,4,60
European,Auckland,female,60,degree,community,40,880
European,Wellington,female,35,vocational,community,53,739
European,Auckland,female,35,none,community,37.5,633
European,Auckland,male,30,degree,community,40,792
European,Gisborne,female,20,vocational,community,24,356
European,Auckland,female,65,school,community,43.5,679
European,Auckland,female,55,school,community,0,199
European,Christchurch,female,25,vocational,community,8,240
European,Auckland,female,60,school,community,28,739
European,Gisborne,male,35,school,community,40,680
European,Nelson,male,55,vocational,community,0,308
European,Otago,female,40,school,community,40,594
European,Southland,male,25,school,community,45,1138
European,Waikato,female,65,vocational,community,37,1657
European,Otago,female,25,school,community,29,817
European,Christchurch,male,30,degree,community,40,844
European,Auckland,male,40,other,community,27,749
European,Southland,female,60,school,community,32,583
European,Wellington,male,40,vocational,community,40,1507
European,Wellington,female,65,none,community,40,888
European,Auckland,male,50,vocational,community,40,1266
European,Christchurch,female,45,vocational,community,0,0
European,Southland,male,65,none,community,20,309
European,Taranaki,male,20,none,community,40,492
European,Gisborne,male,65,none,community,48,1872
European,Auckland,male,45,vocational,community,8,337
European,Auckland,male,60,degree,community,45,1695
European,Southland,female,35,school,community,37,829
European,Nelson,male,45,vocational,community,28,1772
European,Waikato,male,40,vocational,community,0,372
European,Christchurch,male,50,school,community,37.5,730
European,Northland,male,45,school,community,44,1423
European,Auckland,female,30,school,community,13,322
European,Auckland,male,50,vocational,community,40,720
European,Auckland,male,25,degree,community,60,1266
European,Wellington,male,50,other,community,45,1315
European,Northland,female,45,none,community,48,864
European,Auckland,female,25,degree,community,40,653
European,Christchurch,female,20,vocational,community,20,389
European,Auckland,male,35,none,community,0,378
European,Auckland,female,45,school,community,37,400
European,Northland,male,55,none,community,44,653
European,Christchurch,male,20,degree,community,49,862
European,BoP,female,40,none,community,27,651
European,Nelson,female,35,vocational,community,40,690
European,BoP,male,45,degree,community,0,142
European,Wellington,male,20,degree,community,46,1102
European,Auckland,male,50,none,community,53,930
European,BoP,female,30,vocational,community,0,457
European,Christchurch,male,55,degree,community,50,900
European,Southland,male,15,vocational,community,0,241
European,Southland,male,35,vocational,community,27.5,985
European,Otago,male,15,school,community,28,378
European,Waikato,female,30,none,community,0,1045
European,Gisborne,female,55,school,community,16,291
European,Nelson,female,35,vocational,community,45,1401
European,Waikato,female,20,vocational,community,38.5,956
European,Waikato,male,30,vocational,community,60,1198
European,Auckland,male,25,degree,community,28.5,1968
European,Waikato,female,60,vocational,community,8,908
European,Waikato,female,25,school,community,36,825
European,Manawatu,female,50,school,community,50,793
European,BoP,male,65,degree,community,40,934
European,Otago,male,40,degree,community,40,774
European,Wellington,male,50,school,community,46.5,818
European,Wellington,female,20,school,community,42,462
European,Christchurch,male,20,school,community,57,1066
European,Christchurch,female,35,school,community,56,1640
European,Northland,female,45,vocational,community,21,1407
European,Christchurch,male,60,vocational,community,40,504
European,Christchurch,male,45,none,community,45,891
European,Christchurch,male,20,vocational,community,60,702
European,Auckland,male,50,vocational,community,40,768
European,Wellington,female,20,school,community,50,990
European,Waikato,female,65,none,community,30,639
European,Nelson,female,40,vocational,community,36,519
European,Christchurch,male,55,degree,community,40,777
European,Auckland,male,60,school,community,20,434
European,Christchurch,male,20,school,community,80,990
European,Waikato,female,60,none,community,50,990
European,BoP,female,35,vocational,community,10,127
European,Auckland,female,15,none,community,37.5,699
European,Auckland,male,60,vocational,community,40,792
European,Manawatu,male,50,vocational,community,70,1260
European,Auckland,female,35,vocational,community,40,1122
European,Auckland,female,20,school,community,15,403
European,Christchurch,female,45,vocational,community,40,1571
European,Auckland,male,30,school,community,40,704
European,Auckland,male,65,none,community,45,1111
European,Christchurch,female,30,vocational,community,35,701
European,Otago,female,45,vocational,community,1,54
European,Auckland,female,30,degree,community,41.5,679
European,Otago,female,40,school,community,40,505
European,Taranaki,female,50,none,community,30,2082
European,Auckland,female,55,none,community,0,70
European,Wellington,male,20,degree,community,55,713
European,BoP,female,60,vocational,community,37,604
European,Christchurch,female,15,school,community,32.5,410
European,Auckland,female,30,vocational,community,8,-345
European,Northland,male,45,none,community,40,1166
European,Northland,female,55,vocational,community,18,2576
European,Southland,female,30,vocational,community,42,882
European,Nelson,female,25,vocational,community,0,206
European,Wellington,female,45,school,community,42,767
European,Auckland,female,30,vocational,community,40.5,904
European,Nelson,female,45,vocational,community,24,621
European,Christchurch,female,50,none,community,40,672
European,Manawatu,male,45,none,community,45.5,1658
European,BoP,female,60,vocational,community,40,1144
European,Christchurch,female,35,vocational,community,40,1014
European,Auckland,male,60,school,community,40,792
European,Wellington,female,35,vocational,community,30,546
European,Wellington,male,50,other,community,40,330
European,Wellington,female,40,degree,community,40,2426
European,Waikato,male,35,degree,community,40,644
European,Auckland,female,20,school,community,0,-50
European,Auckland,female,25,vocational,community,37.5,1080
European,Otago,female,65,vocational,community,3.5,174
European,Auckland,male,45,vocational,community,54,1165
European,Christchurch,female,20,none,community,37,954
European,Auckland,female,30,degree,community,28,556
European,Waikato,female,50,vocational,community,35,1032
European,Christchurch,female,45,degree,community,0,-211
European,Nelson,female,40,none,community,40,928
European,Christchurch,female,35,vocational,community,4,51
European,Otago,female,45,vocational,community,29,482
European,Manawatu,female,40,vocational,community,32,1407
European,Auckland,female,50,vocational,community,40,915
European,Auckland,female,30,vocational,community,20,575
European,Auckland,female,45,school,community,32,754
European,Wellington,male,30,degree,community,37.5,871
European,Otago,female,45,vocational,community,38.5,946
European,Nelson,female,35,other,community,13,559
European,Manawatu,male,45,none,community,47,1448
European,Christchurch,male,60,vocational,community,46,568
European,Otago,female,40,degree,community,28,1181
European,Auckland,female,45,school,community,33,481
European,Wellington,female,15,none,community,40,504
European,Wellington,female,30,degree,community,28,513
European,Nelson,female,35,vocational,community,0,0
European,Auckland,male,60,vocational,community,40,903
European,Christchurch,female,50,vocational,community,50.5,659
European,Christchurch,female,60,school,community,0,517
European,Auckland,male,50,vocational,community,40,597
European,Taranaki,female,50,other,community,40,777
European,BoP,female,50,vocational,community,70,1449
European,Southland,female,60,vocational,community,20,857
European,Taranaki,female,65,none,community,55,855
European,Christchurch,female,55,vocational,community,22.5,683
European,Auckland,female,40,school,community,60,2467
European,Auckland,female,60,vocational,community,0,-173
European,Nelson,female,55,vocational,community,30,455
European,Wellington,female,25,none,community,4,74
European,Wellington,female,20,degree,community,45,700
European,Auckland,female,30,vocational,community,0,678
European,Manawatu,female,55,other,community,45,850
European,Christchurch,male,20,other,community,14,164
European,Wellington,male,45,school,community,40,1846
European,Nelson,male,40,vocational,community,50,708
European,Auckland,female,50,school,community,0,0
European,BoP,male,65,none,community,37,970
European,Waikato,female,35,vocational,community,24,849
European,Waikato,female,65,other,community,5,81
European,Auckland,female,25,school,community,10,165
European,Christchurch,male,15,school,community,33.5,492
European,Southland,male,25,vocational,community,9,693
European,BoP,female,45,vocational,community,0,-30
European,Otago,female,20,school,community,11,157
European,Wellington,female,50,vocational,community,37,588
European,Christchurch,female,50,school,community,0,0
European,BoP,female,30,vocational,community,7.5,105
European,Christchurch,male,45,none,community,40,828
European,Manawatu,male,30,school,community,30,510
European,Christchurch,female,60,vocational,community,14,2313
European,BoP,male,60,none,community,50,2431
European,Christchurch,female,40,school,community,0,168
European,Gisborne,female,60,vocational,community,40,1059
European,Taranaki,female,35,other,community,20,280
European,Auckland,female,60,none,community,40,697
European,Southland,female,40,vocational,community,50,1155
European,BoP,female,25,vocational,community,22.5,654
European,Manawatu,female,55,none,community,40,700
European,Manawatu,female,40,vocational,community,15,578
European,Auckland,female,30,school,community,30,1208
European,Manawatu,female,25,school,community,40,844
European,Wellington,female,50,none,community,0,265
European,Christchurch,female,45,school,community,50,1477
European,Waikato,male,45,degree,community,40,1308
European,Waikato,female,25,vocational,community,14,1338
European,Christchurch,male,65,none,community,37,703
European,Christchurch,female,65,none,community,28,658
European,Manawatu,female,30,other,community,30,494
European,Christchurch,female,20,school,community,26,323
European,Manawatu,male,60,degree,community,47.5,888
European,Christchurch,female,20,vocational,community,40,603
European,Christchurch,female,35,vocational,community,40,1122
European,Auckland,female,65,none,community,40,650
European,Otago,female,30,vocational,community,35,995
European,Christchurch,female,40,school,community,15,55
European,Wellington,female,30,vocational,community,38.5,966
European,Christchurch,male,20,degree,community,45,1542
European,Manawatu,male,15,none,community,32,582
European,Christchurch,male,55,school,community,0,226
European,Gisborne,male,50,vocational,community,40,991
European,Manawatu,male,55,vocational,community,40,1911
European,Wellington,male,40,vocational,community,37.5,695
European,Northland,male,30,vocational,community,20,0
European,Christchurch,female,60,vocational,community,38.5,615
European,Auckland,female,45,school,community,45,871
European,Christchurch,female,45,school,community,40,656
European,Auckland,female,50,degree,community,32,535
European,BoP,male,30,vocational,community,40,572
European,BoP,male,65,none,community,41,1384
European,Wellington,female,40,vocational,community,40,810
European,Christchurch,female,35,school,community,55,1424
European,Auckland,male,65,other,community,50,1494
European,Wellington,male,50,vocational,community,40,597
European,Manawatu,male,20,school,community,40,791
European,Otago,male,45,vocational,community,0,495
European,Manawatu,female,20,school,community,50,900
European,Waikato,male,45,vocational,community,70,1382
European,Auckland,female,25,school,community,42,939
European,Nelson,male,15,none,community,50,527
European,Otago,female,35,vocational,community,8,136
European,Southland,female,60,vocational,community,15,182
European,Auckland,female,30,vocational,community,40,1224
European,Wellington,male,50,vocational,community,62,335
European,Auckland,female,25,vocational,community,10,130
European,Auckland,female,65,school,community,40,612
European,Christchurch,female,25,vocational,community,60,1584
European,Christchurch,female,45,other,community,40,777
European,BoP,male,50,none,community,40,3101
European,Christchurch,female,25,school,community,44,2165
European,Christchurch,male,60,other,community,45,1817
European,Christchurch,female,50,vocational,community,40,1053
European,Auckland,male,40,degree,community,40,1308
European,Christchurch,male,55,degree,community,85,2400
European,Wellington,female,65,school,community,44,759
European,Auckland,male,65,degree,community,37,1053
European,Southland,female,55,none,community,27.5,402
European,Auckland,male,65,degree,community,20,704
European,Christchurch,female,45,vocational,community,40,727
European,Gisborne,female,35,vocational,community,40.5,460
European,Waikato,female,55,degree,community,40,802
European,Auckland,female,45,vocational,community,30,605
European,Wellington,male,55,degree,community,8,455
European,Auckland,male,20,school,community,30,845
European,Northland,female,25,vocational,community,37.5,1356
European,Otago,male,20,degree,community,38,585
European,Christchurch,female,55,degree,community,18,1198
European,Otago,male,45,vocational,community,45,1228
European,Auckland,male,15,school,community,10,150
European,Auckland,male,60,none,community,40,864
European,Southland,male,65,school,community,3,50
European,Nelson,male,25,vocational,community,17.5,996
European,Otago,female,50,other,community,12,308
European,Auckland,female,45,vocational,community,9,274
European,Gisborne,female,25,school,community,30,478
European,Gisborne,male,45,none,community,40,2778
European,Auckland,male,30,vocational,community,40,695
European,Otago,female,60,vocational,community,35,583
European,Auckland,male,65,other,community,10,176
European,Waikato,male,40,school,community,40,1002
European,Nelson,female,55,vocational,community,27,922
European,Waikato,male,40,vocational,community,20,440
European,Gisborne,male,20,school,community,35,461
European,Nelson,female,45,vocational,community,40,949
European,Gisborne,female,20,vocational,community,40,792
European,Auckland,female,45,school,community,45,777
European,Auckland,male,65,none,community,0,473
European,Southland,female,55,vocational,community,40,832
European,Christchurch,male,25,degree,community,50,503
European,Otago,female,50,vocational,community,0,434
European,Otago,female,35,vocational,community,13,361
European,Taranaki,female,50,school,community,30,354
European,Christchurch,male,50,vocational,community,50,765
European,Otago,male,40,none,community,60,938
European,Waikato,female,35,vocational,community,21,608
European,Otago,female,20,vocational,community,32,1075
European,Wellington,female,45,vocational,community,40,1122
European,Gisborne,female,40,none,community,37.5,613
European,Wellington,female,50,school,community,37,1704
European,Auckland,male,65,vocational,community,50,940
European,Auckland,female,50,none,community,0,398
European,Wellington,female,45,vocational,community,3,101
European,Otago,male,15,school,community,20,319
European,Christchurch,female,15,none,community,8,110
European,Wellington,female,20,vocational,community,16,264
European,Wellington,female,55,degree,community,30,531
European,Christchurch,female,55,vocational,community,40,1154
European,Wellington,male,45,vocational,community,40,934
European,Southland,male,20,none,community,45,743
European,Wellington,female,40,school,community,40,844
European,Christchurch,female,50,vocational,community,7,231
European,Auckland,male,25,vocational,community,32,789
European,Christchurch,female,65,none,community,32,747
