Country,Region,Life.Expectancy,GDP.per.Capita,Population,Year,Children.per.Woman
Egypt,Middle East & North Africa,,1838.784687,29533070, yr 1964,6.475
Iran,Middle East & North Africa,,4320.58269,24264000, yr 1964,6.965
Iraq,Middle East & North Africa,53.726,8253.134279,7711071, yr 1964,6.872
Israel,Middle East & North Africa,69.855,7981.80674,2498199, yr 1964,3.828
Jordan,Middle East & North Africa,49.021,2671.520268,1017180, yr 1964,8.034
Kuwait,Middle East & North Africa,61.718,91341.82533,433233, yr 1964,7.381
Lebanon,Middle East & North Africa,62.701,5814.815906,1996143, yr 1964,5.615
Libya,Middle East & North Africa,48.531,12161.3767,1560361, yr 1964,7.275
Morocco,Middle East & North Africa,48.644,1596.535169,13722483, yr 1964,7.144
Oman,Middle East & North Africa,44.168,2902.512253,661826, yr 1964,7.2
Qatar,Middle East & North Africa,56.041,,63897, yr 1964,6.985
Saudi Arabia,Middle East & North Africa,47.059,13089.09887,5192398, yr 1964,7.257
Syria,Middle East & North Africa,,2272.842973,5156816, yr 1964,7.614
Tunisia,Middle East & North Africa,50.244,1912.763387,4468393, yr 1964,7.194
United Arab Emirates,Middle East & North Africa,56.191,,132980, yr 1964,6.861
West Bank and Gaza,Middle East & North Africa,49.022,2368.288113,1182145, yr 1964,
"Yemen, Rep.",Middle East & North Africa,35.616,837.0420207,6378206, yr 1964,8.442
Yemen Arab Republic (Former),Middle East & North Africa,,,, yr 1964,
Yemen Democratic (Former),Middle East & North Africa,,,, yr 1964,
Anguilla,America,,,5819, yr 1964,
Antigua and Barbuda,America,,,58650, yr 1964,
Argentina,America,65.596,7452.885451,21949244, yr 1964,3.068
Aruba,America,67.138,,59091, yr 1964,4.059
Bahamas,America,,16708.0202,133605, yr 1964,4.314
Barbados,America,66.503,6130.21461,233269, yr 1964,4.037
Belize,America,63.437,1972.054066,103902, yr 1964,6.42
Bermuda,America,,29189.2796,48107, yr 1964,
Bolivia,America,43.923,2323.02389,3764067, yr 1964,6.607
Brazil,America,56.284,3277.005382,80666939, yr 1964,5.953
British Virgin Islands,America,,,8183, yr 1964,
Canada,America,71.69,14510.89933,19711053, yr 1964,3.377
Cayman Islands,America,,,8405, yr 1964,
Chile,America,58.756,4694.222513,8330423, yr 1964,5.185
Colombia,America,58.64,2566.85756,18090000, yr 1964,6.661
Costa Rica,America,63.833,3680.523875,1440184, yr 1964,6.886
Cuba,America,66.395,5087.169603,7612275, yr 1964,4.643
Dominica,America,,,, yr 1964,
Dominican Rep.,America,,1769.272036,3687001, yr 1964,7.187
Ecuador,America,55.385,4227.098943,4967705, yr 1964,6.672
El Salvador,America,53.968,4047.704772,2923870, yr 1964,6.699
Falkland Islands (Malvinas),America,,,, yr 1964,
French Guiana,America,60.969,,37893, yr 1964,5.076
Grenada,America,63.753,,92767, yr 1964,5.906
Guadeloupe,America,65.054,,295823, yr 1964,5.539
Guatemala,America,47.887,2978.562062,4454413, yr 1964,6.434
Guyana,America,57.994,2049.281321,626389, yr 1964,6.201
Haiti,America,44.464,1572.87027,4049805, yr 1964,6.233
Honduras,America,48.915,2326.638723,2246099, yr 1964,7.443
Jamaica,America,66.284,5596.179519,1738997, yr 1964,5.775
Martinique,America,65.014,,306529, yr 1964,5.363
Mexico,America,59.055,5213.601444,43774575, yr 1964,6.767
Montserrat,America,,,11804, yr 1964,
Netherlands Antilles,America,67.132,,144450, yr 1964,4.059
Nicaragua,America,49.604,4222.446551,1695330, yr 1964,7.052
Panama,America,62.72,3810.205248,1287993, yr 1964,5.874
Paraguay,America,64.568,2187.332874,2115353, yr 1964,6.41
Peru,America,49.741,5235.974859,11143500, yr 1964,6.8
Puerto Rico,America,70.117,5793.243477,2552181, yr 1964,4.075
Saint Barthélemy,America,,,, yr 1964,
Saint Martin,America,,,, yr 1964,
Saint-Pierre-et-Miquelon,America,,,5046, yr 1964,
Saint Kitts and Nevis,America,,,48103, yr 1964,
Saint Lucia,America,,,92409, yr 1964,6.758
Saint Vincent and the Grenadines,America,,2281.787,83760, yr 1964,6.876
Suriname,America,61.144,,327023, yr 1964,6.412
Trinidad and Tobago,America,65.184,5217.560614,923887, yr 1964,4.62
Turks and Caicos Islands,America,,,5842, yr 1964,
United States,America,70.33,20243.97875,191889000, yr 1964,3.095
Uruguay,America,68.54,5603.147316,2663610, yr 1964,2.858
Abkhazia,Europe & Central Asia,,,, yr 1964,
Akrotiri and Dhekelia,Europe & Central Asia,,,, yr 1964,
Albania,Europe & Central Asia,65.437,2473.6971,1832284, yr 1964,5.586
Andorra,Europe & Central Asia,,,12199, yr 1964,
Armenia,Europe & Central Asia,67.738,,2134940, yr 1964,4.161
Austria,Europe & Central Asia,70.16,11705.63362,7223801, yr 1964,2.771
Azerbaijan,Europe & Central Asia,62.668,,4430183, yr 1964,5.468
Belarus,Europe & Central Asia,73.48,,8501607, yr 1964,2.601
Belgium,Europe & Central Asia,70.73,12089.40942,9367000, yr 1964,2.599
Bosnia and Herzegovina,Europe & Central Asia,62.852,2029.362919,3445000, yr 1964,3.619
Bulgaria,Europe & Central Asia,71.14,4721.863908,8144339, yr 1964,2.162
Channel Islands,Europe & Central Asia,71.641,,114942, yr 1964,2.551
Croatia,Europe & Central Asia,67.63,6502.154178,4113553, yr 1964,2.211
Cyprus,Europe & Central Asia,69.53,,, yr 1964,3.249
Czech Rep.,Europe & Central Asia,,10268.34191,9726030, yr 1964,2.099
Czechoslovakia,Europe & Central Asia,,,14052204, yr 1964,
Denmark,Europe & Central Asia,72.52,13937.78018,4720171, yr 1964,2.602
East Germany,Europe & Central Asia,,,, yr 1964,
Estonia,Europe & Central Asia,70.64,,1272439, yr 1964,1.953
Faeroe Islands,Europe & Central Asia,,,35400, yr 1964,
Finland,Europe & Central Asia,69.37,10042.2193,4548544, yr 1964,2.58
France,Europe & Central Asia,71.32,12197.96542,48340000, yr 1964,2.799
Georgia,Europe & Central Asia,65.265,,4406832, yr 1964,2.864
Germany,Europe & Central Asia,70.515,,, yr 1964,2.494
Gibraltar,Europe & Central Asia,,,25376, yr 1964,
Greece,Europe & Central Asia,69.981,6709.760932,8510429, yr 1964,2.259
Greenland,Europe & Central Asia,,,37891, yr 1964,
Guernsey,Europe & Central Asia,,,49329, yr 1964,
Holy See,Europe & Central Asia,,,, yr 1964,
Hungary,Europe & Central Asia,69.48,8362.477399,10124000, yr 1964,1.84
Iceland,Europe & Central Asia,73.57,12133.87365,188847, yr 1964,3.716
Ireland,Europe & Central Asia,70.49,7131.74042,2864000, yr 1964,3.966
Isle of Man,Europe & Central Asia,,7627.418821,48520, yr 1964,
Italy,Europe & Central Asia,70.4,8821.596841,51600200, yr 1964,2.5
Jersey,Europe & Central Asia,,,65613, yr 1964,
Kazakhstan,Europe & Central Asia,60.035,,11601936, yr 1964,4.201
Kosovo,Europe & Central Asia,,,6553345, yr 1964,
Kyrgyzstan,Europe & Central Asia,,,2494509, yr 1964,5.317
Latvia,Europe & Central Asia,71.52,,2227495, yr 1964,1.819
Liechtenstein,Europe & Central Asia,,,18391, yr 1964,
Lithuania,Europe & Central Asia,71.94,,2922673, yr 1964,2.344
Luxembourg,Europe & Central Asia,69.07,19273.35177,327750, yr 1964,2.374
"Macedonia, FYR",Europe & Central Asia,63.136,3972.983927,1444676, yr 1964,3.658
Malta,Europe & Central Asia,69.049,2301.608577,323591, yr 1964,2.776
Moldova,Europe & Central Asia,62.963,,3271001, yr 1964,2.989
Monaco,Europe & Central Asia,,,22255, yr 1964,
Montenegro,Europe & Central Asia,64.716,,8243056, yr 1964,2.517
Netherlands,Europe & Central Asia,,,, yr 1964,
Ngorno-Karabakh,Europe & Central Asia,,,, yr 1964,
Northern Cyprus,Europe & Central Asia,,,, yr 1964,
Norway,Europe & Central Asia,73.61,13355,3694339, yr 1964,2.96
Poland,Europe & Central Asia,68.8,5788.405243,30975520, yr 1964,2.5
Portugal,Europe & Central Asia,65.24,5278.676878,9122500, yr 1964,3.011
Romania,Europe & Central Asia,66.776,5326.915931,18927081, yr 1964,2.331
Russia,Europe & Central Asia,,,125521510, yr 1964,2.369
San Marino,Europe & Central Asia,,,17144, yr 1964,
Serbia,Europe & Central Asia,65.326,,, yr 1964,2.517
Serbia and Montenegro,Europe & Central Asia,,,8243056, yr 1964,
Serbia excluding Kosovo,Europe & Central Asia,,,6553345, yr 1964,
Slovak Republic,Europe & Central Asia,71.09,7578.137275,4326174, yr 1964,2.746
Slovenia,Europe & Central Asia,69.197,8786.397278,1606083, yr 1964,2.321
South Ossetia,Europe & Central Asia,,,, yr 1964,
Spain,Europe & Central Asia,70.58,6765.927648,31740862, yr 1964,2.912
Svalbard,Europe & Central Asia,,,, yr 1964,
Sweden,Europe & Central Asia,73.73,14703,7661354, yr 1964,2.295
Switzerland,Europe & Central Asia,72.2,21712.09454,5887000, yr 1964,2.474
Tajikistan,Europe & Central Asia,57.897,,2424081, yr 1964,6.433
Transnistria,Europe & Central Asia,,,, yr 1964,
Turkey,Europe & Central Asia,52.841,2919.572553,31227361, yr 1964,5.923
Turkmenistan,Europe & Central Asia,56.162,,1825383, yr 1964,6.663
Ukraine,Europe & Central Asia,72.19,,44785626, yr 1964,2.119
United Kingdom,Europe & Central Asia,71.62,13465.99369,53991000, yr 1964,2.769
USSR,Europe & Central Asia,,,227697970, yr 1964,
Uzbekistan,Europe & Central Asia,60.634,,9877755, yr 1964,6.777
Yugoslavia,Europe & Central Asia,,,18852368, yr 1964,
Åland,Europe & Central Asia,,,, yr 1964,
American Samoa,East Asia & Pacific,,,23200, yr 1964,
Australia,East Asia & Pacific,70.65,13329.89726,11218304, yr 1964,3.154
Brunei,East Asia & Pacific,63.426,,98171, yr 1964,6.5
Cambodia,East Asia & Pacific,44.529,492.1909301,6426908, yr 1964,6.316
China,East Asia & Pacific,53.32072,567.7721533,698355000, yr 1964,5.793
Christmas Island,East Asia & Pacific,,,, yr 1964,
Cocos Island,East Asia & Pacific,,,, yr 1964,
Cook Islands,East Asia & Pacific,,,18904, yr 1964,
Fiji,East Asia & Pacific,57.126,2130.131128,450647, yr 1964,5.676
French Polynesia,East Asia & Pacific,57.732,,90793, yr 1964,6.49
Guam,East Asia & Pacific,62.85,,72500, yr 1964,5.67
"Hong Kong, China",East Asia & Pacific,68.422,5559.560736,3504600, yr 1964,5.008
Indonesia,East Asia & Pacific,43.528,809.5845474,103031000, yr 1964,5.623
Japan,East Asia & Pacific,70.28,7803.680953,97826267, yr 1964,1.97
Kiribati,East Asia & Pacific,,,43973, yr 1964,
"Korea, Dem. Rep.",East Asia & Pacific,57.569,1396,11527887, yr 1964,
"Korea, Rep.",East Asia & Pacific,55.855,1322,27984000, yr 1964,5.357
Laos,East Asia & Pacific,,889.9652191,2512401, yr 1964,5.999
"Macao, China",East Asia & Pacific,62.395,,215496, yr 1964,4.423
Malaysia,East Asia & Pacific,56.827,2149.867226,9397464, yr 1964,6.525
Marshall Islands,East Asia & Pacific,,,17232, yr 1964,
"Micronesia, Fed. Sts.",East Asia & Pacific,59.177,,47246, yr 1964,6.893
Mongolia,East Asia & Pacific,49.188,1121.783975,1060600, yr 1964,6.421
Myanmar,East Asia & Pacific,46.503,691.5359648,24485982, yr 1964,6.118
Nauru,East Asia & Pacific,,,4914, yr 1964,
New Caledonia,East Asia & Pacific,58.977,,88066, yr 1964,5.206
New Zealand,East Asia & Pacific,71.35,14107.05469,2591950, yr 1964,3.22404
Niue,East Asia & Pacific,,,, yr 1964,
Norfolk Island,East Asia & Pacific,,,, yr 1964,
Northern Mariana Islands,East Asia & Pacific,,,10122, yr 1964,
Palau,East Asia & Pacific,,,10557, yr 1964,
Papua New Guinea,East Asia & Pacific,40.443,1325.882421,1936607, yr 1964,6.268
Philippines,East Asia & Pacific,55.377,1717.621926,32254350, yr 1964,6.761
Pitcairn,East Asia & Pacific,,,, yr 1964,
Samoa,East Asia & Pacific,51.825,,123874, yr 1964,7.135
Singapore,East Asia & Pacific,66.511,3827.089677,1841600, yr 1964,4.475
Solomon Islands,East Asia & Pacific,51.189,,140000, yr 1964,6.394
Taiwan,East Asia & Pacific,66.7,2465,12631480, yr 1964,
Thailand,East Asia & Pacific,56.335,1088.709678,31106615, yr 1964,6.297
Timor-Leste,East Asia & Pacific,35.742,,544346, yr 1964,6.302
Tokelau,East Asia & Pacific,,,, yr 1964,
Tonga,East Asia & Pacific,62.879,,71949, yr 1964,7.117
Tuvalu,East Asia & Pacific,,,5513, yr 1964,
Wallis et Futuna,East Asia & Pacific,,,8300, yr 1964,
Venezuela,America,,9244.188757,8752058, yr 1964,6.495
West Germany,Europe & Central Asia,,,, yr 1964,
Western Sahara,Middle East & North Africa,39.857,,35795, yr 1964,6.6
Vietnam,East Asia & Pacific,46.11,780.9018341,36099052, yr 1964,7.326
Virgin Islands (U.S.),America,,,, yr 1964,
Vanuatu,East Asia & Pacific,48.9,,72577, yr 1964,6.836
"Korea, United",East Asia & Pacific,,,39511887, yr 1964,
Angola,Sub-Saharan Africa,36.199,5346.627499,5350384, yr 1968,7.375
Benin,Sub-Saharan Africa,44.433,1048.782081,2488957, yr 1968,6.544
Botswana,Sub-Saharan Africa,53.567,1319.177585,561941, yr 1968,6.686
Burkina Faso,Sub-Saharan Africa,40.79,810.7609805,5183033, yr 1968,6.563
Burundi,Sub-Saharan Africa,43.525,400.0258938,3400775, yr 1968,6.801
Cameroon,Sub-Saharan Africa,45.05,1575.871751,6459744, yr 1968,6.126
Cape Verde,Sub-Saharan Africa,55.634,776.9146642,254303, yr 1968,7.021
Central African Rep.,Sub-Saharan Africa,,1122.2077,1763062, yr 1968,5.953
Chad,Sub-Saharan Africa,43.816,1165.850943,3572528, yr 1968,6.424
Comoros,Sub-Saharan Africa,46.754,1827.896396,223443, yr 1968,7.055
"Congo, Dem. Rep.",Sub-Saharan Africa,43.229,871.2142266,20570629, yr 1968,6.161
"Congo, Rep.",Sub-Saharan Africa,53.224,2749.044956,1209505, yr 1968,6.207
Cote d'Ivoire,Sub-Saharan Africa,45.15,2258.478255,4983741, yr 1968,7.849
Equatorial Guinea,Sub-Saharan Africa,39.139,935.8254628,263377, yr 1968,5.658
Eritrea,Sub-Saharan Africa,42.47,,, yr 1968,6.671
Eritrea and Ethiopia,Sub-Saharan Africa,,,30308330, yr 1968,
Ethiopia,Sub-Saharan Africa,42.332,514.0002132,28451255, yr 1968,6.863
Gabon,Sub-Saharan Africa,44.964,8486.706601,496853, yr 1968,4.552
Gambia,Sub-Saharan Africa,,721.3352147,454105, yr 1968,6.027
Ghana,Sub-Saharan Africa,48.102,1108.413401,8744302, yr 1968,6.957
Guinea,Sub-Saharan Africa,42.329,1543.6843,2161618, yr 1968,6.208
Guinea-Bissau,Sub-Saharan Africa,36.668,762.759347,611160, yr 1968,5.296
Kenya,Sub-Saharan Africa,51.023,1096.541208,10532389, yr 1968,8.117
Lesotho,Sub-Saharan Africa,48.639,485.5675973,1019394, yr 1968,5.805
Liberia,Sub-Saharan Africa,43.619,726.3530409,1316907, yr 1968,7.063
Madagascar,Sub-Saharan Africa,43.053,1707.699011,6473179, yr 1968,7.316
Malawi,Sub-Saharan Africa,39.74,476.6135516,4263813, yr 1968,7.219
Mali,Sub-Saharan Africa,37.158,553.2428355,5327515, yr 1968,6.74
Mauritania,Sub-Saharan Africa,46.993,1523.617519,1249383, yr 1968,6.795
Mauritius,Sub-Saharan Africa,61.691,2262.621208,804177, yr 1968,4.14
Mayotte,Sub-Saharan Africa,60.56,,34349, yr 1968,
Mozambique,Sub-Saharan Africa,38.365,615.8989961,8883626, yr 1968,6.599
Namibia,Sub-Saharan Africa,51.476,3726.618959,725304, yr 1968,6.347
Niger,Sub-Saharan Africa,,,, yr 1968,
Nigeria,Sub-Saharan Africa,39.804,978.6826141,48481074, yr 1968,6.566
Reunion,Sub-Saharan Africa,60.943,4202.492027,425070, yr 1968,4.738
Rwanda,Sub-Saharan Africa,44.165,531.6154808,3547932, yr 1968,8.197
Saint Helena,Sub-Saharan Africa,,,5531, yr 1968,
Sao Tome and Principe,Sub-Saharan Africa,54.64,1440.23876,71804, yr 1968,6.419
Senegal,Sub-Saharan Africa,42.012,1668.22492,4073826, yr 1968,7.274
Seychelles,Sub-Saharan Africa,,6044.751327,51126, yr 1968,
Sierra Leone,Sub-Saharan Africa,35.243,1304.023132,2703603, yr 1968,5.782
Somalia,Sub-Saharan Africa,39.23,1278.432413,3505657, yr 1968,7.232
Somaliland,Sub-Saharan Africa,,,, yr 1968,
South Africa,Sub-Saharan Africa,52.101,7256.575637,21569468, yr 1968,5.705
Sudan,Sub-Saharan Africa,45.677,1744.145488,13058929, yr 1968,6.603
Swaziland,Sub-Saharan Africa,46.951,2428.328658,431797, yr 1968,6.857
Tanzania,Sub-Saharan Africa,45.967,865.714502,, yr 1968,6.785
Togo,Sub-Saharan Africa,48.257,1511.874905,1781978, yr 1968,6.971
Uganda,Sub-Saharan Africa,48.585,904.5963414,9170101, yr 1968,7.117
Zambia,Sub-Saharan Africa,48.086,1753.08087,4009000, yr 1968,7.405
Zimbabwe,Sub-Saharan Africa,54.217,561.2217442,5171817, yr 1968,7.411
Afghanistan,South Asia,34.201,845.0799786,11825320, yr 1968,7.7
Bangladesh,South Asia,43.472,772,64133002, yr 1968,6.865
Bhutan,South Asia,39.681,,1005421, yr 1968,6.67
India,South Asia,47.567,739,518000000, yr 1968,5.604
Maldives,South Asia,48.614,,107000, yr 1968,7
Nepal,South Asia,41.655,668.4853773,11473118, yr 1968,6.129
Pakistan,South Asia,53.405,982,62282496, yr 1968,6.875
Sri Lanka,South Asia,61.333,1192.496077,12010095, yr 1968,4.609
Algeria,Middle East & North Africa,51.682,3519.794116,13146267, yr 1968,7.394
Bahrain,Middle East & North Africa,60.321,15319.70109,207811, yr 1968,6.86
Djibouti,Middle East & North Africa,42.31,2999.577888,137047, yr 1968,7.565
Egypt,Middle East & North Africa,,1806.233441,32337877, yr 1968,6.133
Iran,Middle East & North Africa,,6118.784634,27321000, yr 1968,6.739
Iraq,Middle East & North Africa,56.749,9761.325118,8807547, yr 1968,7.362
Israel,Middle East & North Africa,70.812,9488.733031,2746986, yr 1968,3.807
Jordan,Middle East & North Africa,52.109,2396.393098,1382539, yr 1968,8.004
Kuwait,Middle East & North Africa,64.969,80502.14146,631802, yr 1968,7.383
Lebanon,Middle East & North Africa,64.097,6583.23202,2253719, yr 1968,5.285
Libya,Middle East & North Africa,50.372,24313.51227,1833726, yr 1968,7.505
Morocco,Middle East & North Africa,50.573,1762.619144,15137266, yr 1968,7.112
Oman,Middle East & North Africa,47.484,8348.983868,735222, yr 1968,7.2
Qatar,Middle East & North Africa,59.076,,93925, yr 1968,6.973
Saudi Arabia,Middle East & North Africa,50.226,17910.56394,5774916, yr 1968,7.267
Syria,Middle East & North Africa,,2030.102558,5867053, yr 1968,7.594
Tunisia,Middle East & North Africa,52.379,2088.68455,4894178, yr 1968,6.83
United Arab Emirates,Middle East & North Africa,59.16,,190974, yr 1968,6.738
West Bank and Gaza,Middle East & North Africa,52.131,2750.957407,1000482, yr 1968,
"Yemen, Rep.",Middle East & North Africa,37.179,870.2525116,6859408, yr 1968,8.571
Yemen Arab Republic (Former),Middle East & North Africa,,,, yr 1968,
Yemen Democratic (Former),Middle East & North Africa,,,, yr 1968,
Anguilla,America,,,5996, yr 1968,
Antigua and Barbuda,America,,,63135, yr 1968,
Argentina,America,66.132,8284.391228,23260514, yr 1968,3.049
Aruba,America,68.457,,58149, yr 1968,3.226
Bahamas,America,,20153.21704,157435, yr 1968,3.783
Barbados,America,67.847,8306.964284,239868, yr 1968,3.384
Belize,America,65.437,2206.039106,116293, yr 1968,6.337
Bermuda,America,,37319.00537,51250, yr 1968,
Bolivia,America,45.139,2740.717287,4139069, yr 1968,6.587
Brazil,America,57.826,3666.978272,90569084, yr 1968,5.326
British Virgin Islands,America,,,9248, yr 1968,
Canada,America,72.29,16658.21328,21143100, yr 1968,2.555
Cayman Islands,America,,,9476, yr 1968,
Chile,America,60.874,5189.48029,9029621, yr 1968,4.392
Colombia,America,60.197,2770.645778,20321665, yr 1968,6.05
Costa Rica,America,65.863,4346.334259,1638476, yr 1968,5.657
Cuba,America,68.818,5265.765454,8283933, yr 1968,4.312
Dominica,America,,,, yr 1968,
Dominican Rep.,America,,1607.656829,4173328, yr 1968,6.562
Ecuador,America,56.989,4690.395874,5596925, yr 1968,6.46
El Salvador,America,55.896,4345.968225,3347320, yr 1968,6.396
Falkland Islands (Malvinas),America,,,, yr 1968,
French Guiana,America,64.29,,45383, yr 1968,4.921
Grenada,America,64.141,,94349, yr 1968,4.835
Guadeloupe,America,66.069,,315392, yr 1968,5.195
Guatemala,America,50.567,3466.05318,4773538, yr 1968,6.288
Guyana,America,59.283,2302.610729,687477, yr 1968,5.951
Haiti,America,46.425,1477.584466,4411541, yr 1968,5.937
Honduras,America,51.258,2594.598173,2591112, yr 1968,7.383
Jamaica,America,67.712,6328.339587,1893477, yr 1968,5.722
Martinique,America,66.976,,322092, yr 1968,4.939
Mexico,America,60.522,6036.640588,49518803, yr 1968,6.775
Montserrat,America,,,11633, yr 1968,
Netherlands Antilles,America,68.548,,153117, yr 1968,3.226
Nicaragua,America,52.297,4559.440491,1925707, yr 1968,6.941
Panama,America,64.482,4607.852306,1446758, yr 1968,5.57
Paraguay,America,65.107,2318.866664,2349262, yr 1968,6.041
Peru,America,51.98,5568.881524,12476000, yr 1968,6.515
Puerto Rico,America,71.179,7191.445931,2673568, yr 1968,3.377
Saint Barthélemy,America,,,, yr 1968,
Saint Martin,America,,,, yr 1968,
Saint-Pierre-et-Miquelon,America,,,5284, yr 1968,
Saint Kitts and Nevis,America,,,46933, yr 1968,
Saint Lucia,America,,,99400, yr 1968,6.387
Saint Vincent and the Grenadines,America,,2129.525746,88020, yr 1968,6.345
Suriname,America,62.633,,361735, yr 1968,5.922
Trinidad and Tobago,America,65.502,5895.02905,963086, yr 1968,3.774
Turks and Caicos Islands,America,,,5609, yr 1968,
United States,America,70.42,23268.21419,200706000, yr 1968,2.489
Uruguay,America,68.65,5475.229744,2776607, yr 1968,2.844
Abkhazia,Europe & Central Asia,,,, yr 1968,
Akrotiri and Dhekelia,Europe & Central Asia,,,, yr 1968,
Albania,Europe & Central Asia,66.512,2859.812013,2038698, yr 1968,5.083
Andorra,Europe & Central Asia,,,17216, yr 1968,
Armenia,Europe & Central Asia,69.452,,2402358, yr 1968,3.447
Austria,Europe & Central Asia,70.29,13335.55703,7415403, yr 1968,2.5839
Azerbaijan,Europe & Central Asia,64.303,,4945231, yr 1968,4.901
Belarus,Europe & Central Asia,73.24,,8864776, yr 1968,2.378
Belgium,Europe & Central Asia,70.63,13647.19609,9589800, yr 1968,2.363
Bosnia and Herzegovina,Europe & Central Asia,65.088,2199.574574,3627000, yr 1968,3.114
Bulgaria,Europe & Central Asia,71.25,5639.346751,8369603, yr 1968,2.151
Channel Islands,Europe & Central Asia,72.009,,120169, yr 1968,2.318
Croatia,Europe & Central Asia,68.646,7047.518642,4189903, yr 1968,2.068
Cyprus,Europe & Central Asia,70.348,,, yr 1968,2.779
Czech Rep.,Europe & Central Asia,,11893.045,9851051, yr 1968,1.968
Czechoslovakia,Europe & Central Asia,,,14322641, yr 1968,
Denmark,Europe & Central Asia,73.17,15706.49227,4867300, yr 1968,2.117
East Germany,Europe & Central Asia,,,, yr 1968,
Estonia,Europe & Central Asia,70.59,,1324437, yr 1968,2.041
Faeroe Islands,Europe & Central Asia,,,38000, yr 1968,
Finland,Europe & Central Asia,69.79,11122.84283,4626469, yr 1968,2.15
France,Europe & Central Asia,71.54,14146.1486,49934000, yr 1968,2.597
Georgia,Europe & Central Asia,66.786,3134.35871,4606979, yr 1968,2.637
Germany,Europe & Central Asia,70.771,,, yr 1968,2.231
Gibraltar,Europe & Central Asia,,,26097, yr 1968,
Greece,Europe & Central Asia,71.138,8581.631293,8740765, yr 1968,2.361
Greenland,Europe & Central Asia,,,44716, yr 1968,
Guernsey,Europe & Central Asia,,,52099, yr 1968,
Holy See,Europe & Central Asia,,,, yr 1968,
Hungary,Europe & Central Asia,69.33,9403.183999,10263542, yr 1968,1.977
Iceland,Europe & Central Asia,73.94,12441.43872,201245, yr 1968,3.161
Ireland,Europe & Central Asia,70.93,8253.107201,2912500, yr 1968,3.895
Isle of Man,Europe & Central Asia,,8298.635201,50982, yr 1968,
Italy,Europe & Central Asia,70.88,10694.07481,52986600, yr 1968,2.515
Jersey,Europe & Central Asia,,,68070, yr 1968,
Kazakhstan,Europe & Central Asia,61.694,,12691968, yr 1968,3.683
Kosovo,Europe & Central Asia,,,6792148, yr 1968,
Kyrgyzstan,Europe & Central Asia,,,2818308, yr 1968,5.034
Latvia,Europe & Central Asia,70.46,4596.577322,2322031, yr 1968,1.839
Liechtenstein,Europe & Central Asia,,,19965, yr 1968,
Lithuania,Europe & Central Asia,71.61,,3068801, yr 1968,2.285
Luxembourg,Europe & Central Asia,70.28,19989.64977,335867, yr 1968,2.143
"Macedonia, FYR",Europe & Central Asia,65.354,4306.215683,1532751, yr 1968,3.299
Malta,Europe & Central Asia,69.568,3158.658251,319254, yr 1968,2.168
Moldova,Europe & Central Asia,64.282,,3505944, yr 1968,2.66
Monaco,Europe & Central Asia,,,23142, yr 1968,
Montenegro,Europe & Central Asia,67.558,,8544687, yr 1968,2.418
Netherlands,Europe & Central Asia,,,, yr 1968,
Ngorno-Karabakh,Europe & Central Asia,,,, yr 1968,
Northern Cyprus,Europe & Central Asia,,,, yr 1968,
Norway,Europe & Central Asia,73.96,15456,3818983, yr 1968,2.75
Poland,Europe & Central Asia,70.25,6900.037897,32034813, yr 1968,2.26
Portugal,Europe & Central Asia,66.91,6918.30301,9115050, yr 1968,2.861
Romania,Europe & Central Asia,67.256,6461.499881,19720984, yr 1968,2.858
Russia,Europe & Central Asia,,,128876498, yr 1968,2.038
San Marino,Europe & Central Asia,,,18333, yr 1968,
Serbia,Europe & Central Asia,67.114,,, yr 1968,2.418
Serbia and Montenegro,Europe & Central Asia,,,8544687, yr 1968,
Serbia excluding Kosovo,Europe & Central Asia,,,6792148, yr 1968,
Slovak Republic,Europe & Central Asia,70.5,8777.18413,4471590, yr 1968,2.506
Slovenia,Europe & Central Asia,69.261,9523.351327,1657849, yr 1968,2.297
South Ossetia,Europe & Central Asia,,,, yr 1968,
Spain,Europe & Central Asia,71.73,8374.242965,33239301, yr 1968,2.929
Svalbard,Europe & Central Asia,,,, yr 1968,
Sweden,Europe & Central Asia,74.03,16732,7912217, yr 1968,2.139
Switzerland,Europe & Central Asia,72.72,23522.13088,6132000, yr 1968,2.228
Tajikistan,Europe & Central Asia,59.478,,2759277, yr 1968,6.775
Transnistria,Europe & Central Asia,,,, yr 1968,
Turkey,Europe & Central Asia,54.671,3363.338744,34164759, yr 1968,5.678
Turkmenistan,Europe & Central Asia,57.758,,2054487, yr 1968,6.403
Ukraine,Europe & Central Asia,71.59,,46510301, yr 1968,2.058
United Kingdom,Europe & Central Asia,71.79,14651.00736,55214000, yr 1968,2.482
USSR,Europe & Central Asia,,,237983436, yr 1968,
Uzbekistan,Europe & Central Asia,62.241,,11232040, yr 1968,6.608
Yugoslavia,Europe & Central Asia,,,19552190, yr 1968,
Åland,Europe & Central Asia,,,, yr 1968,
American Samoa,East Asia & Pacific,,,28100, yr 1968,
Australia,East Asia & Pacific,70.73,15088.55836,12101660, yr 1968,2.886
Brunei,East Asia & Pacific,65.383,,115921, yr 1968,5.929
Cambodia,East Asia & Pacific,45.082,533.1696574,7142547, yr 1968,6.155
China,East Asia & Pacific,59.4052,594.2723847,774510000, yr 1968,5.841
Christmas Island,East Asia & Pacific,,,, yr 1968,
Cocos Island,East Asia & Pacific,,,, yr 1968,
